County,MSA,Median,FamilySize,VeryLow,ExtremelyLow,Low,Year
AUTAUGA,"MONTGOMERY, AL",74400,1,26050,15650,41650,2023
AUTAUGA,"MONTGOMERY, AL",74400,2,29800,19720,47600,2023
AUTAUGA,"MONTGOMERY, AL",74400,3,33500,24860,53550,2023
AUTAUGA,"MONTGOMERY, AL",74400,4,37200,30000,59500,2023
AUTAUGA,"MONTGOMERY, AL",74400,5,40200,35140,64300,2023
AUTAUGA,"MONTGOMERY, AL",74400,6,43200,40280,69050,2023
AUTAUGA,"MONTGOMERY, AL",74400,7,46150,45420,73800,2023
AUTAUGA,"MONTGOMERY, AL",74400,8,49150,49150,78550,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,1,31700,19050,50700,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,2,36200,21750,57950,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,3,40750,24860,65200,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,4,45250,30000,72400,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,5,48900,35140,78200,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,6,52500,40280,84000,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,7,56150,45420,89800,2023
BALDWIN,"DAPHNE-FAIRHOPE-FOLEY, AL",93000,8,59750,50560,95600,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,1,22850,14580,36550,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,2,26100,19720,41750,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,3,29350,24860,46950,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,4,32600,30000,52150,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,5,35250,35140,56350,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,6,37850,37850,60500,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,7,40450,40450,64700,2023
BARBOUR,"BARBOUR COUNTY, AL",54700,8,43050,43050,68850,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,1,31450,18900,50300,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,2,35950,21600,57500,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,3,40450,24860,64700,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,4,44900,30000,71850,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,5,48500,35140,77600,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,6,52100,40280,83350,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,7,55700,45420,89100,2023
BIBB,"BIRMINGHAM-HOOVER, AL",90400,8,59300,50560,94850,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,1,31450,18900,50300,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,2,35950,21600,57500,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,3,40450,24860,64700,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,4,44900,30000,71850,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,5,48500,35140,77600,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,6,52100,40280,83350,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,7,55700,45420,89100,2023
BLOUNT,"BIRMINGHAM-HOOVER, AL",90400,8,59300,50560,94850,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,1,22850,14580,36550,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,2,26100,19720,41750,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,3,29350,24860,46950,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,4,32600,30000,52150,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,5,35250,35140,56350,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,6,37850,37850,60500,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,7,40450,40450,64700,2023
BULLOCK,"BULLOCK COUNTY, AL",52200,8,43050,43050,68850,2023
BUTLER,"BUTLER COUNTY, AL",70400,1,22850,14580,36550,2023
BUTLER,"BUTLER COUNTY, AL",70400,2,26100,19720,41750,2023
BUTLER,"BUTLER COUNTY, AL",70400,3,29350,24860,46950,2023
BUTLER,"BUTLER COUNTY, AL",70400,4,32600,30000,52150,2023
BUTLER,"BUTLER COUNTY, AL",70400,5,35250,35140,56350,2023
BUTLER,"BUTLER COUNTY, AL",70400,6,37850,37850,60500,2023
BUTLER,"BUTLER COUNTY, AL",70400,7,40450,40450,64700,2023
BUTLER,"BUTLER COUNTY, AL",70400,8,43050,43050,68850,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,1,25500,15300,40800,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,2,29150,19720,46600,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,3,32800,24860,52450,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,4,36400,30000,58250,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,5,39350,35140,62950,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,6,42250,40280,67600,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,7,45150,45150,72250,2023
CALHOUN,"ANNISTON-OXFORD-JACKSONVILLE, AL",74100,8,48050,48050,76900,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,1,22850,14580,36550,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,2,26100,19720,41750,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,3,29350,24860,46950,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,4,32600,30000,52150,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,5,35250,35140,56350,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,6,37850,37850,60500,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,7,40450,40450,64700,2023
CHAMBERS,"CHAMBERS COUNTY, AL",61500,8,43050,43050,68850,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,1,22850,14580,36550,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,2,26100,19720,41750,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,3,29350,24860,46950,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,4,32600,30000,52150,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,5,35250,35140,56350,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,6,37850,37850,60500,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,7,40450,40450,64700,2023
CHEROKEE,"CHEROKEE COUNTY, AL",67900,8,43050,43050,68850,2023
CHILTON,"CHILTON COUNTY, AL",70900,1,23450,14580,37450,2023
CHILTON,"CHILTON COUNTY, AL",70900,2,26800,19720,42800,2023
CHILTON,"CHILTON COUNTY, AL",70900,3,30150,24860,48150,2023
CHILTON,"CHILTON COUNTY, AL",70900,4,33450,30000,53500,2023
CHILTON,"CHILTON COUNTY, AL",70900,5,36150,35140,57800,2023
CHILTON,"CHILTON COUNTY, AL",70900,6,38850,38850,62100,2023
CHILTON,"CHILTON COUNTY, AL",70900,7,41500,41500,66350,2023
CHILTON,"CHILTON COUNTY, AL",70900,8,44200,44200,70650,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,1,22850,14580,36550,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,2,26100,19720,41750,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,3,29350,24860,46950,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,4,32600,30000,52150,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,5,35250,35140,56350,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,6,37850,37850,60500,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,7,40450,40450,64700,2023
CHOCTAW,"CHOCTAW COUNTY, AL",67000,8,43050,43050,68850,2023
CLARKE,"CLARKE COUNTY, AL",66900,1,22850,14580,36550,2023
CLARKE,"CLARKE COUNTY, AL",66900,2,26100,19720,41750,2023
CLARKE,"CLARKE COUNTY, AL",66900,3,29350,24860,46950,2023
CLARKE,"CLARKE COUNTY, AL",66900,4,32600,30000,52150,2023
CLARKE,"CLARKE COUNTY, AL",66900,5,35250,35140,56350,2023
CLARKE,"CLARKE COUNTY, AL",66900,6,37850,37850,60500,2023
CLARKE,"CLARKE COUNTY, AL",66900,7,40450,40450,64700,2023
CLARKE,"CLARKE COUNTY, AL",66900,8,43050,43050,68850,2023
CLAY,"CLAY COUNTY, AL",63000,1,22850,14580,36550,2023
CLAY,"CLAY COUNTY, AL",63000,2,26100,19720,41750,2023
CLAY,"CLAY COUNTY, AL",63000,3,29350,24860,46950,2023
CLAY,"CLAY COUNTY, AL",63000,4,32600,30000,52150,2023
CLAY,"CLAY COUNTY, AL",63000,5,35250,35140,56350,2023
CLAY,"CLAY COUNTY, AL",63000,6,37850,37850,60500,2023
CLAY,"CLAY COUNTY, AL",63000,7,40450,40450,64700,2023
CLAY,"CLAY COUNTY, AL",63000,8,43050,43050,68850,2023
